60 m
8.24;1;None;27.06.2020;Ostermundigen;UBS Kids Cup; 
8.39;1;None;20.08.2020;Liebefeld;UBS Kids Cup; 
80 m
10.66;2f;;22.08.2020;Huttwil;BE Kantonalfinal Sprint; 
10.71;3h1;;22.08.2020;Huttwil;BE Kantonalfinal Sprint; 
10.77;;;03.07.2020;ganze Schweiz;Swiss Athletics Junior Challenge; 
10.82;19f1;0.4;09.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
10.89;;;24.06.2020;ganze Schweiz;Swiss Athletics Junior Challenge; 
10.93;13 2;-0.3;15.07.2020;Langenthal;Nachwuchs Abendmeeting; 
1000 m
244.96;70f1;None;09.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
80 m Hürden 76.2
18.6;19 4;0.3;15.07.2020;Langenthal;Nachwuchs Abendmeeting; 
Hoch
1.27;77f1;None;09.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
Weit
4.94;2f1;0.4;16.08.2020;Langenthal;Nachwuchs SVM Einzel 2020; 
4.82;;;19.06.2020;ganze Schweiz;Swiss Athletics Junior Challenge; 
4.76;4f1;0.5;08.07.2020;Bern;TVL/BLV-Abendmeeting Bern; 
4.73;28f1;0.3;09.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
Weit Zone
5.08;1;None;27.06.2020;Ostermundigen;UBS Kids Cup; 
4.95;1;None;20.08.2020;Liebefeld;UBS Kids Cup; 
Kugel 3.00 kg
8.47;45f1;None;09.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
8.18;;None;19.06.2020;ganze Schweiz;Swiss Athletics Junior Challenge; 
Speer 400 gr
30.09;4f1;None;16.08.2020;Langenthal;Nachwuchs SVM Einzel 2020; 
Ball 200 g
55.2;1;None;20.08.2020;Liebefeld;UBS Kids Cup; 
50.3;1;None;27.06.2020;Ostermundigen;UBS Kids Cup; 
Fünfkampf U16 W
2602.0;58;None;09.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
UBS Kids Cup
2279.0;1;None;20.08.2020;Liebefeld;UBS Kids Cup;Limite erfüllt
2278.0;1;None;27.06.2020;Ostermundigen;UBS Kids Cup;Limite erfüllt
