60 m
8.8;2;None;15.08.2020;Interlaken;UBS Kids Cup; 
8.89;4;None;27.06.2020;Ostermundigen;UBS Kids Cup; 
8.95;7;None;09.08.2020;Kirchberg BE;UBS Kids Cup; 
80 m
11.51;;;24.06.2020;ganze Schweiz;Swiss Athletics Junior Challenge; 
11.84;20h3;;22.08.2020;Huttwil;BE Kantonalfinal Sprint; 
80 m Hürden 76.2
13.31;;;03.07.2020;ganze Schweiz;Swiss Athletics Junior Challenge; 
Weit
4.56;7f1;0.2;08.07.2020;Bern;TVL/BLV-Abendmeeting Bern; 
4.39;;;19.06.2020;ganze Schweiz;Swiss Athletics Junior Challenge; 
3.4;20f1;0.3;15.07.2020;Langenthal;Nachwuchs Abendmeeting; 
Weit Zone
4.64;2;None;15.08.2020;Interlaken;UBS Kids Cup; 
4.45;4;None;27.06.2020;Ostermundigen;UBS Kids Cup; 
4.37;7;None;09.08.2020;Kirchberg BE;UBS Kids Cup; 
Kugel 3.00 kg
7.65;7f1;None;16.08.2020;Langenthal;Nachwuchs SVM Einzel 2020; 
Speer 400 gr
34.81;;None;19.06.2020;ganze Schweiz;Swiss Athletics Junior Challenge;Limite erfüllt
32.07;2f1;None;08.07.2020;Bern;TVL/BLV-Abendmeeting Bern; 
28.56;7f1;None;16.08.2020;Langenthal;Nachwuchs SVM Einzel 2020; 
27.93;11f1;None;15.07.2020;Langenthal;Nachwuchs Abendmeeting; 
Ball 200 g
48.77;2;None;15.08.2020;Interlaken;UBS Kids Cup; 
42.94;4;None;27.06.2020;Ostermundigen;UBS Kids Cup; 
42.51;7;None;09.08.2020;Kirchberg BE;UBS Kids Cup; 
UBS Kids Cup
2003.0;2;None;15.08.2020;Interlaken;UBS Kids Cup; 
1846.0;4;None;27.06.2020;Ostermundigen;UBS Kids Cup; 
1812.0;7;None;09.08.2020;Kirchberg BE;UBS Kids Cup; 
