150 m
20.21;8 3;1.0;17.06.2020;Bern;Abendmeeting Bern; 
200 m
27.14;9f2;-0.4;08.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
27.29;25 4;0.6;27.06.2020;Bern;Sonnenwend Meeting; 
600 m
100.32;1 1;None;17.06.2020;Bern;Abendmeeting Bern; 
800 m
149.71;5f1;None;09.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
100 m Hürden 84.0
15.66;7f3;1.7;08.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
400 m Hürden 76.2
64.29;2f1;None;23.08.2020;Frauenfeld;SM U20/U23;Limite erfüllt
66.23;10 3;None;15.08.2020;La Chaux-de-Fonds;Meeting de la Tchaux champsseries;Limite erfüllt
67.78;3h1;None;22.08.2020;Frauenfeld;SM U20/U23;Limite erfüllt
Hoch
1.45;10f1;None;08.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
Weit
5.25;2f1;1.9;05.07.2020;Bern;Internes Sprungmeeting Bern (STB/TVL); 
4.74;11f1;-0.6;09.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
Kugel 4.00 kg
8.63;2f1;None;27.06.2020;Bern;Sonnenwend Meeting; 
8.42;11f1;None;08.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
8.28;6;None;29.07.2020;Bern;Interner STB Sommerwettkampf; 
Speer 600 gr
26.0;5;None;01.07.2020;Wankdorf, Bern;1. STB Wurfwettkampf; 
24.67;11f1;None;09.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
Siebenkampf
4012.0;10;None;09.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
