80 m
10.77;9 4;-0.6;15.07.2020;Langenthal;Nachwuchs Abendmeeting; 
10.77;15f3;0.2;09.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
10.97;;;24.06.2020;ganze Schweiz;Swiss Athletics Junior Challenge; 
10.97;;;24.06.2020;ganze Schweiz;Swiss Athletics Junior Challenge; 
1000 m
252.67;76f1;None;09.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
Hoch
1.6;1f1;None;09.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020;Limite erfüllt
1.56;2f1;None;29.08.2020;Hochdorf;SVM Nachwuchs Meeting U16 / U18;Limite erfüllt
1.55;;None;20.06.2020;ganze Schweiz;Swiss Athletics Junior Challenge;Limite erfüllt
1.53;2f1;None;16.08.2020;Langenthal;Nachwuchs SVM Einzel 2020; 
Weit
4.98;14f1;1.0;09.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
4.67;3f1;0.2;29.08.2020;Hochdorf;SVM Nachwuchs Meeting U16 / U18; 
Kugel 3.00 kg
8.6;40f1;None;09.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
Speer 400 gr
18.68;;None;20.06.2020;ganze Schweiz;Swiss Athletics Junior Challenge; 
Fünfkampf U16 W
2942.0;24;None;09.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
