100 m
12.7;3r2;0.8;30.06.2020;Olten;Abendmeeting; 
12.76;2r1;-1.1;15.08.2020;Sarnen;9. RAIFFEISEN Sommermeeting; 
12.78;3r1;-0.5;04.08.2020;Olten;Abendmeeting & SM Hammer Masters; 
12.79;16h3;-0.9;22.08.2020;Frauenfeld;SM U20/U23; 
12.91;16qf2;-1.4;22.08.2020;Frauenfeld;SM U20/U23; 
150 m
19.24;3 1;0.8;17.06.2020;Bern;Abendmeeting Bern; 
200 m
25.77;17 4;0.6;27.06.2020;Bern;Sonnenwend Meeting;Limite erfüllt
26.04;4r2;-0.2;30.06.2020;Olten;Abendmeeting; 
26.45;6r1;-0.5;04.08.2020;Olten;Abendmeeting & SM Hammer Masters; 
Weit
5.71;1f1;1.5;05.07.2020;Bern;Internes Sprungmeeting Bern (STB/TVL);Limite erfüllt
5.52;9 1;-0.8;27.06.2020;Bern;Sonnenwend Meeting;Limite erfüllt
5.51;1;-0.3;15.08.2020;Sarnen;9. RAIFFEISEN Sommermeeting;Limite erfüllt
5.47;4 1;-2.3;08.08.2020;Rotkreuz;8. Nationales Sprungmeeting; 
5.47;4 1;-2.3;08.08.2020;Rotkreuz;8. Nationales Sprungmeeting; 
5.45;8 1;-0.1;23.08.2020;Frauenfeld;SM U20/U23; 
5.41;3q1;1.1;17.06.2020;Bern;Abendmeeting Bern; 
