100 m
13.26;10 2;-0.1;15.07.2020;Langenthal;Nachwuchs Abendmeeting; 
13.29;1 1;0.0;20.06.2020;Thun;Thuner Vereinsmeeting; 
13.33;3 2;-0.1;20.06.2020;Thun;Thuner Vereinsmeeting; 
Stab
2.8;6;None;09.08.2020;Aarau;Stab- / Dreisprungmeeting;Limite erfüllt
2.6;20;None;01.08.2020;Frauenkappelen;16. Stabhochsprungmeeting; 
2.5;11;None;04.07.2020;Emmenbrücke;7.Stabmeeting Emmenbrücke; 
Weit
4.81;5 1;0.1;30.06.2020;Thun;1. Thuner Sprung-Challange; 
4.62;9f1;-0.7;15.07.2020;Langenthal;Nachwuchs Abendmeeting; 
Kugel 3.00 kg
12.13;1 1;None;11.07.2020;Bulle;Meeting de la Gruyère;Limite erfüllt
12.12;1 1;None;23.07.2020;Thun;1. Thuner Wurfchallange;Limite erfüllt
11.63;2f1;None;27.06.2020;Bern;Sonnenwend Meeting;Limite erfüllt
Speer 500 gr
25.57;3 1;None;23.07.2020;Thun;1. Thuner Wurfchallange; 
