60 m
8.6;5;None;05.07.2020;Langenthal;UBS Kids Cup; 
400 m
65.43;21 5;None;05.08.2020;Langenthal;Internationales Sommermeeting; 
500 m
83.95;12 2;None;13.06.2020;Langenthal;Take-off - Meeting; 
600 m
100.93;;None;30.06.2020;ganze Schweiz;Swiss Athletics Junior Challenge;Limite erfüllt
102.50999999999999;1 2;None;08.08.2020;Zofingen;38. Nachwuchsmeeting;Limite erfüllt
1000 m
187.97;21;None;22.08.2020;Moutier;MilLe Gruyère; 
188.66;1 1;None;29.08.2020;Gümligen;Regionalfinal MilLeGruyère; 
189.02;2 1;None;27.06.2020;Langenthal;"Die schnällschte Oberaargauer"; 
190.31;1f1;None;16.08.2020;Langenthal;Nachwuchs SVM Einzel 2020; 
191.39;5 1;None;15.07.2020;Langenthal;Nachwuchs Abendmeeting; 
Weit Zone
4.78;5;None;05.07.2020;Langenthal;UBS Kids Cup; 
Speer 400 gr
30.38;3f1;None;16.08.2020;Langenthal;Nachwuchs SVM Einzel 2020; 
Ball 200 g
45.39;5;None;05.07.2020;Langenthal;UBS Kids Cup; 
UBS Kids Cup
2035.0;5;None;05.07.2020;Langenthal;UBS Kids Cup; 
