60 m
8.1;1;None;15.06.2020;Düdingen;UBS Kids Cup; 
8.52;1;None;29.06.2020;Düdingen;UBS Kids Cup; 
80 m
11.0;37f2;0.2;09.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
11.11;1r2;0.3;29.06.2020;Düdingen;Abendmeeting Sense; 
11.38;12f2;0.2;29.08.2020;Hochdorf;SVM Nachwuchs Meeting U16 / U18; 
1000 m
221.2;29f1;None;09.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
80 m Hürden 76.2
14.39;21 5;0.7;05.08.2020;Langenthal;Internationales Sommermeeting; 
Hoch
1.45;5f1;None;29.08.2020;Hochdorf;SVM Nachwuchs Meeting U16 / U18; 
1.42;32f1;None;09.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
1.4;9f1;None;05.08.2020;Langenthal;Internationales Sommermeeting; 
Weit
4.69;31f1;-1.3;09.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
Weit Zone
4.78;1;None;15.06.2020;Düdingen;UBS Kids Cup; 
4.75;1;None;29.06.2020;Düdingen;UBS Kids Cup; 
Kugel 3.00 kg
9.57;23f1;None;09.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
9.03;1r1;None;29.06.2020;Düdingen;Abendmeeting Sense; 
Ball 200 g
50.19;1;None;15.06.2020;Düdingen;UBS Kids Cup; 
49.55;1;None;29.06.2020;Düdingen;UBS Kids Cup; 
Fünfkampf U16 W
2929.0;26;None;09.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
UBS Kids Cup
2254.0;1;None;15.06.2020;Düdingen;UBS Kids Cup;Limite erfüllt
2114.0;1;None;29.06.2020;Düdingen;UBS Kids Cup; 
