400 m
53.24;2f1;None;16.08.2020;Langenthal;Nachwuchs SVM Einzel 2020; 
500 m
72.5;17 3;None;13.06.2020;Langenthal;Take-off - Meeting; 
800 m
121.82;40 5;None;05.08.2020;Langenthal;Internationales Sommermeeting;Limite erfüllt
124.24;4;None;31.07.2020;Aarau;Aarauer Abendmeeting;Limite erfüllt
124.32;;None;30.06.2020;ganze Schweiz;Swiss Athletics Junior Challenge;Limite erfüllt
125.52;18 6;None;20.06.2020;Meilen;Meeting Meilen; 
1000 m
163.59;33r4;None;16.06.2020;Wetzikon ZH;Laufmeeting Wetzikon; 
1500 m
265.17;1 1;None;25.07.2020;Riehen;Sommermeeting; 
273.96;2f1;None;16.08.2020;Langenthal;Nachwuchs SVM Einzel 2020; 
282.83;67 2;None;27.06.2020;Bern;Sonnenwend Meeting; 
