100 m
13.18;1r6;1.1;30.06.2020;Olten;Abendmeeting; 
100 m Hürden 76.2
16.26;8 2;1.1;08.08.2020;Zofingen;38. Nachwuchsmeeting; 
16.35;12 3;0.8;15.07.2020;Langenthal;Nachwuchs Abendmeeting; 
16.55;3f1;-0.3;16.08.2020;Langenthal;Nachwuchs SVM Einzel 2020; 
Hoch
1.45;4f1;None;16.08.2020;Langenthal;Nachwuchs SVM Einzel 2020; 
Speer 500 gr
38.34;1f1;None;16.08.2020;Langenthal;Nachwuchs SVM Einzel 2020;Limite erfüllt
38.01;4f1;None;15.07.2020;Langenthal;Nachwuchs Abendmeeting;Limite erfüllt
37.91;2 1;None;08.08.2020;Zofingen;38. Nachwuchsmeeting;Limite erfüllt
37.63;2f1;None;28.06.2020;Sarnen;OKB-Werfer-Meeting;Limite erfüllt
