1000 m
202.68;17f1;None;08.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
100 m Hürden 84.0
15.16;11f1;0.1;08.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
15.21;;;24.06.2020;ganze Schweiz;Swiss Athletics Junior Challenge; 
15.21;;;24.06.2020;ganze Schweiz;Swiss Athletics Junior Challenge; 
Hoch
1.75;X;None;20.06.2020;ganze Schweiz;Swiss Athletics Junior Challenge;Limite erfüllt
1.65;;None;08.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
1.65;;None;29.08.2020;Hochdorf;SVM Nachwuchs Meeting U16 / U18; 
Weit
5.71;2f1;-0.1;29.08.2020;Hochdorf;SVM Nachwuchs Meeting U16 / U18; 
5.38;14f1;-0.4;08.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
Kugel 4.00 kg
12.07;6f1;None;08.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
11.81;1f1;None;29.08.2020;Hochdorf;SVM Nachwuchs Meeting U16 / U18; 
10.45;3;None;29.07.2020;Bern;Interner STB Sommerwettkampf; 
Diskus 1.00 kg
26.11;18f1;None;08.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
Speer 600 gr
36.1;;None;20.06.2020;ganze Schweiz;Swiss Athletics Junior Challenge; 
Sechskampf U16 M
3602.0;12;None;09.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
