100 m
11.92;12f2;0.6;08.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
300 m
38.55;20 4;None;13.06.2020;Langenthal;Take-off - Meeting; 
400 m
53.87;8f2;None;08.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
1500 m
287.8;7f1;None;09.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
110 m Hürden 91.4
15.07;2f1;1.0;09.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
15.32;3 2;0.3;05.08.2020;Langenthal;Internationales Sommermeeting; 
Hoch
1.79;3f1;None;13.06.2020;Langenthal;Take-off - Meeting; 
1.74;7f1;None;08.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
Stab
4.3;7;None;01.08.2020;Frauenkappelen;16. Stabhochsprungmeeting;Limite erfüllt
4.17;1;None;20.06.2020;Aarau;Stabmeeting;Limite erfüllt
3.9;3f1;None;09.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020;Limite erfüllt
Weit
6.27;6f1;-0.9;08.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
Kugel 5.00 kg
12.51;3f1;None;05.08.2020;Langenthal;Internationales Sommermeeting; 
12.4;9f1;None;08.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
Diskus 1.50 kg
34.99;2f1;None;09.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
Speer 700 gr
38.6;12f1;None;09.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
Zehnkampf U18 M
6214.0;5;None;09.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
