60 m
8.27;2f1;None;27.06.2020;Langenthal;"Die schnällschte Oberaargauer"; 
8.31;3;None;05.07.2020;Langenthal;UBS Kids Cup; 
8.38;2h1;None;27.06.2020;Langenthal;"Die schnällschte Oberaargauer"; 
Hoch
1.61;1f1;None;16.08.2020;Langenthal;Nachwuchs SVM Einzel 2020;Limite erfüllt
Weit Zone
5.37;1 2;None;30.08.2020;Bern;Grosses Meeting für die Kleinen; 
5.24;;None;23.06.2020;ganze Schweiz;Swiss Athletics Junior Challenge; 
5.16;3;None;05.07.2020;Langenthal;UBS Kids Cup; 
5.1;;None;29.07.2020;ganze Schweiz;Swiss Athletics Junior Challenge; 
Kugel 3.00 kg
11.3;1f1;None;16.08.2020;Langenthal;Nachwuchs SVM Einzel 2020;Limite erfüllt
10.38;3 1;None;30.08.2020;Bern;Grosses Meeting für die Kleinen; 
Speer 400 gr
38.98;1f1;None;16.08.2020;Langenthal;Nachwuchs SVM Einzel 2020;Limite erfüllt
36.84;;None;31.07.2020;ganze Schweiz;Swiss Athletics Junior Challenge; 
32.51;4 1;None;30.08.2020;Bern;Grosses Meeting für die Kleinen; 
Ball 200 g
54.06;3;None;05.07.2020;Langenthal;UBS Kids Cup; 
UBS Kids Cup
1853.0;3;None;05.07.2020;Langenthal;UBS Kids Cup;Limite erfüllt
