800 m
139.64;;None;30.06.2020;ganze Schweiz;Swiss Athletics Junior Challenge;Limite erfüllt
140.92000000000002;15 1;None;05.08.2020;Langenthal;Internationales Sommermeeting;Limite erfüllt
1000 m
175.82;2r2;None;16.06.2020;Wetzikon ZH;Laufmeeting Wetzikon; 
1500 m
276.21;41;None;10.06.2020;Stade de Champel - Genève;MEETING CHP-Genève;Limite erfüllt
276.27;41;None;07.07.2020;Brugg;Schachencup;Limite erfüllt
276.38;20 4;None;08.08.2020;Regensdorf;Abendmeeting;Limite erfüllt
285.96;1f1;None;16.08.2020;Langenthal;Nachwuchs SVM Einzel 2020;Limite erfüllt
3000 m
602.43;1 1;None;15.08.2020;Schaffhausen;Munotmeeting;Limite erfüllt
620.88;3 2;None;20.06.2020;Meilen;Meeting Meilen;Limite erfüllt
2000 m Steeple
415.4;2 1;None;26.06.2020;Uster;SM 10'000m/Steeple // UsterRunning; 
