60 m
8.56;2;None;05.07.2020;Langenthal;UBS Kids Cup; 
80 m
10.86;2h2;2.0;27.06.2020;Langenthal;"Die schnällschte Oberaargauer"; 
11.03;6h1;;22.08.2020;Huttwil;BE Kantonalfinal Sprint; 
11.05;6f;;22.08.2020;Huttwil;BE Kantonalfinal Sprint; 
11.06;3f1;1.6;27.06.2020;Langenthal;"Die schnällschte Oberaargauer"; 
11.21;22 3;-0.8;15.07.2020;Langenthal;Nachwuchs Abendmeeting; 
11.25;51f1;1.1;09.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
500 m
81.47;9 2;None;13.06.2020;Langenthal;Take-off - Meeting; 
600 m
100.7;;None;30.06.2020;ganze Schweiz;Swiss Athletics Junior Challenge;Limite erfüllt
1000 m
187.5;4 1;None;15.07.2020;Langenthal;Nachwuchs Abendmeeting;Limite erfüllt
187.94;1 1;None;29.08.2020;Gümligen;Regionalfinal MilLeGruyère;Limite erfüllt
195.46;5 1;None;27.06.2020;Langenthal;"Die schnällschte Oberaargauer"; 
196.42000000000002;2f1;None;16.08.2020;Langenthal;Nachwuchs SVM Einzel 2020; 
199.3;2f1;None;09.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
Hoch
1.45;2f1;None;16.08.2020;Langenthal;Nachwuchs SVM Einzel 2020; 
1.42;38f1;None;09.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
Weit
4.63;37f1;-0.5;09.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
Weit Zone
4.73;2;None;05.07.2020;Langenthal;UBS Kids Cup; 
Kugel 3.00 kg
7.79;57f1;None;09.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
Ball 200 g
44.06;2;None;05.07.2020;Langenthal;UBS Kids Cup; 
Fünfkampf U16 W
2952.0;23;None;09.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
UBS Kids Cup
2015.0;2;None;05.07.2020;Langenthal;UBS Kids Cup; 
