100 m
12.92;2 1;0.6;29.08.2020;Hochdorf;Arena Meeting; 
13.1;1r3;-0.8;04.08.2020;Olten;Abendmeeting & SM Hammer Masters; 
13.19;1r5;0.9;30.06.2020;Olten;Abendmeeting; 
13.39;4 3;0.7;17.06.2020;Bern;Abendmeeting Bern; 
150 m
20.16;1 1;0.8;17.06.2020;Bern;Abendmeeting Bern; 
200 m
26.26;3 1;0.2;29.08.2020;Hochdorf;Arena Meeting;Limite erfüllt
26.69;1r4;1.0;30.06.2020;Olten;Abendmeeting; 
26.72;5r2;-0.8;04.08.2020;Olten;Abendmeeting & SM Hammer Masters; 
400 m
60.15;1f1;None;16.08.2020;Langenthal;Nachwuchs SVM Einzel 2020;Limite erfüllt
60.31;2 2;None;08.08.2020;Zofingen;38. Nachwuchsmeeting;Limite erfüllt
60.45;5;None;31.07.2020;Aarau;Aarauer Abendmeeting;Limite erfüllt
61.07;22;None;07.07.2020;Brugg;Schachencup;Limite erfüllt
61.21;24 4;None;27.06.2020;Bern;Sonnenwend Meeting;Limite erfüllt
