60 m
8.14;3;None;05.07.2020;Langenthal;UBS Kids Cup; 
8.26;2;None;04.07.2020;Oberburg;UBS Kids Cup; 
8.33;1;None;27.06.2020;Ostermundigen;UBS Kids Cup; 
80 m
10.61;8f;;22.08.2020;Huttwil;BE Kantonalfinal Sprint; 
10.62;3 1;0.7;05.08.2020;Langenthal;Internationales Sommermeeting; 
10.77;6h1;;22.08.2020;Huttwil;BE Kantonalfinal Sprint; 
600 m
91.6;X;None;30.06.2020;ganze Schweiz;Swiss Athletics Junior Challenge;Limite erfüllt
91.6;X;None;03.07.2020;ganze Schweiz;Swiss Athletics Junior Challenge;Limite erfüllt
94.15;;None;08.08.2020;Zofingen;38. Nachwuchsmeeting;Limite erfüllt
1000 m
169.0;1f1;None;16.08.2020;Bern;Die schnällschte Mittuländer;Limite erfüllt
171.24;1 1;None;29.08.2020;Gümligen;Regionalfinal MilLeGruyère;Limite erfüllt
177.25;31;None;20.06.2020;Regensdorf;Mille Gruyère; 
Weit
5.04;11f1;-2.1;05.08.2020;Langenthal;Internationales Sommermeeting; 
Weit Zone
5.26;3;None;05.07.2020;Langenthal;UBS Kids Cup; 
5.25;2;None;04.07.2020;Oberburg;UBS Kids Cup; 
5.02;1;None;27.06.2020;Ostermundigen;UBS Kids Cup; 
Ball 200 g
54.43;2;None;04.07.2020;Oberburg;UBS Kids Cup; 
54.15;3;None;05.07.2020;Langenthal;UBS Kids Cup; 
47.69;1;None;27.06.2020;Ostermundigen;UBS Kids Cup; 
UBS Kids Cup
1914.0;3;None;05.07.2020;Langenthal;UBS Kids Cup; 
1884.0;2;None;04.07.2020;Oberburg;UBS Kids Cup; 
1748.0;1;None;27.06.2020;Ostermundigen;UBS Kids Cup; 
