Kugel 5.00 kg
11.8;;None;28.06.2020;ganze Schweiz;Swiss Athletics Junior Challenge; 
10.87;5;None;15.08.2020;Sarnen;9. RAIFFEISEN Sommermeeting; 
Diskus 1.50 kg
31.87;5;None;15.08.2020;Sarnen;9. RAIFFEISEN Sommermeeting; 
Speer 700 gr
52.24;;None;28.06.2020;ganze Schweiz;Swiss Athletics Junior Challenge;Limite erfüllt
52.11;3 1;None;29.08.2020;8800 Thalwil;OZB-Championships (U18/U20/Aktive) - Nachmeldung geöffnet;Limite erfüllt
51.06;2;None;14.08.2020;Rapperswil-Jona;Abendmeeting Rapperswil-Jona;Limite erfüllt
50.77;2;None;29.02.2020;Sihlhölzli Zürich;Winter Wurf Event Zürich;Limite erfüllt
47.8;3 1;None;05.07.2020;Winterthur;Sommermeeting LVW;Limite erfüllt
44.26;2f1;None;15.07.2020;Langenthal;Nachwuchs Abendmeeting;Limite erfüllt
