60 m
8.0;4;None;05.07.2020;Langenthal;UBS Kids Cup; 
80 m
10.35;4h1;-0.8;27.06.2020;Langenthal;"Die schnällschte Oberaargauer"; 
10.38;4f1;0.6;27.06.2020;Langenthal;"Die schnällschte Oberaargauer"; 
1000 m
186.67;7f1;None;08.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
100 m Hürden 84.0
14.45;5f1;0.0;08.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020;Limite erfüllt
14.54;2 1;0.6;05.08.2020;Langenthal;Internationales Sommermeeting;Limite erfüllt
14.85;7 2;0.6;15.07.2020;Langenthal;Nachwuchs Abendmeeting; 
Hoch
1.56;16f1;None;08.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
Stab
3.72;2;None;20.06.2020;Aarau;Stabmeeting;Limite erfüllt
3.7;13;None;01.08.2020;Frauenkappelen;16. Stabhochsprungmeeting;Limite erfüllt
3.6;8;None;04.07.2020;Emmenbrücke;7.Stabmeeting Emmenbrücke;Limite erfüllt
Weit
5.71;9f1;-1.0;08.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
Weit Zone
5.87;4;None;05.07.2020;Langenthal;UBS Kids Cup; 
Kugel 4.00 kg
11.21;13f1;None;08.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
Diskus 1.00 kg
42.25;1f1;None;05.08.2020;Langenthal;Internationales Sommermeeting;Limite erfüllt
37.08;3f1;None;08.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020;Limite erfüllt
35.78;4f1;None;15.07.2020;Langenthal;Nachwuchs Abendmeeting; 
Ball 200 g
49.48;4;None;05.07.2020;Langenthal;UBS Kids Cup; 
Sechskampf U16 M
3984.0;5;None;09.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
UBS Kids Cup
2001.0;4;None;05.07.2020;Langenthal;UBS Kids Cup; 
