60 m
8.47;2;None;04.07.2020;Oberburg;UBS Kids Cup; 
80 m
10.77;1h3;;16.08.2020;Bern;Die schnällschte Mittuländer; 
10.78;1f1;;16.08.2020;Bern;Die schnällschte Mittuländer; 
10.86;4f;;22.08.2020;Huttwil;BE Kantonalfinal Sprint; 
10.9;11 4;-0.6;15.07.2020;Langenthal;Nachwuchs Abendmeeting; 
10.91;31f1;-0.1;09.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
10.99;5h2;;22.08.2020;Huttwil;BE Kantonalfinal Sprint; 
11.01;6f1;0.0;29.08.2020;Hochdorf;SVM Nachwuchs Meeting U16 / U18; 
11.12;;;24.06.2020;ganze Schweiz;Swiss Athletics Junior Challenge; 
11.12;;;24.06.2020;ganze Schweiz;Swiss Athletics Junior Challenge; 
1000 m
260.36;82f1;None;09.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
80 m Hürden 76.2
12.57;4 3;-0.1;15.07.2020;Langenthal;Nachwuchs Abendmeeting;Limite erfüllt
Hoch
1.33;67f1;None;09.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
Weit
4.56;5f2;0.8;29.08.2020;Hochdorf;SVM Nachwuchs Meeting U16 / U18; 
4.18;70f1;-0.6;09.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
Weit Zone
4.52;2;None;04.07.2020;Oberburg;UBS Kids Cup; 
Kugel 3.00 kg
9.21;30f1;None;09.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
8.51;12f2;None;29.08.2020;Hochdorf;SVM Nachwuchs Meeting U16 / U18; 
Ball 200 g
35.83;2;None;04.07.2020;Oberburg;UBS Kids Cup; 
Fünfkampf U16 W
2482.0;71;None;09.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
UBS Kids Cup
1867.0;2;None;04.07.2020;Oberburg;UBS Kids Cup; 
