400 m
58.41;7 3;None;05.08.2020;Langenthal;Internationales Sommermeeting;Limite erfüllt
800 m
128.75;1 1;None;15.07.2020;Lausanne / Pontaise;Meeting de courses U10 à actifs;Limite erfüllt
128.84;9f1;None;03.07.2020;Luzern;Einladungsmeeting Luzern;Limite erfüllt
131.04;5 1;None;26.06.2020;Uster;SM 10'000m/Steeple // UsterRunning;Limite erfüllt
131.15;3 1;None;20.06.2020;Meilen;Meeting Meilen;Limite erfüllt
131.26;3f1;None;23.08.2020;Frauenfeld;SM U20/U23;Limite erfüllt
136.37;1h1;None;22.08.2020;Frauenfeld;SM U20/U23;Limite erfüllt
1000 m
168.23;2r1;None;16.06.2020;Wetzikon ZH;Laufmeeting Wetzikon; 
1500 m
267.61;8 5;None;08.08.2020;Regensdorf;Abendmeeting;Limite erfüllt
270.58;1f1;None;23.08.2020;Frauenfeld;SM U20/U23;Limite erfüllt
271.72;7 4;None;27.06.2020;Bern;Sonnenwend Meeting;Limite erfüllt
