60 m
7.91;1f1;None;16.08.2020;Thun;Regionalfinal Schnällschti Oberländerinnen;Limite erfüllt
7.96;1f;None;22.08.2020;Huttwil;BE Kantonalfinal Sprint;Limite erfüllt
8.02;1;None;03.07.2020;Interlaken;UBS Kids Cup;Limite erfüllt
8.15;1h3;None;16.08.2020;Thun;Regionalfinal Schnällschti Oberländerinnen;Limite erfüllt
8.18;1;None;15.08.2020;Interlaken;UBS Kids Cup;Limite erfüllt
8.26;1h1;None;22.08.2020;Huttwil;BE Kantonalfinal Sprint;Limite erfüllt
8.28;2 1;None;30.08.2020;Bern;Grosses Meeting für die Kleinen;Limite erfüllt
80 m
10.73;15;-0.3;05.08.2020;Langenthal;Internationales Sommermeeting; 
60 m Hürden 76.2 U18 W
10.29;X;None;03.07.2020;ganze Schweiz;Swiss Athletics Junior Challenge; 
60 m Hü 76.2 U14 W Outdoor
10.53;3 1;None;30.08.2020;Bern;Grosses Meeting für die Kleinen; 
Weit Zone
5.44;1;None;03.07.2020;Interlaken;UBS Kids Cup;Limite erfüllt
5.26;1;None;15.08.2020;Interlaken;UBS Kids Cup;Limite erfüllt
Speer 400 gr
22.91;13 1;None;30.08.2020;Bern;Grosses Meeting für die Kleinen; 
Ball 200 g
45.71;1;None;15.08.2020;Interlaken;UBS Kids Cup; 
37.28;1;None;03.07.2020;Interlaken;UBS Kids Cup; 
UBS Kids Cup
2262.0;1;None;15.08.2020;Interlaken;UBS Kids Cup;Limite erfüllt
2223.0;1;None;03.07.2020;Interlaken;UBS Kids Cup;Limite erfüllt
