200 m
27.75;D;-0.1;18.07.2020;Amriswil;Einladungsmehrkampf; 
27.78;5r4;1.0;30.06.2020;Olten;Abendmeeting; 
800 m
158.57999999999998;11f2;None;09.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
100 m Hürden 76.2
15.49;16f2;0.8;08.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020;Limite erfüllt
15.51;D;-0.7;18.07.2020;Amriswil;Einladungsmehrkampf; 
15.61;8 1;0.4;15.07.2020;Langenthal;Nachwuchs Abendmeeting; 
Hoch
1.54;10f1;None;08.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
1.53;D;None;18.07.2020;Amriswil;Einladungsmehrkampf; 
1.5;2f1;None;08.07.2020;Stein-Säckingen;Einladungsabendmeeting; 
Weit
5.09;D;-0.2;19.07.2020;Amriswil;Einladungsmehrkampf; 
4.7;22f1;0.2;09.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
Kugel 3.00 kg
14.76;D;None;18.07.2020;Amriswil;Einladungsmehrkampf;Limite erfüllt
13.26;1 2;None;29.08.2020;8800 Thalwil;OZB-Championships (U18/U20/Aktive) - Nachmeldung geöffnet;Limite erfüllt
13.23;3f1;None;08.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020;Limite erfüllt
12.85;2f1;None;13.06.2020;Langenthal;Take-off - Meeting;Limite erfüllt
Diskus 1.00 kg
35.91;1;None;15.08.2020;Riehen;Einkampfmeisterschaften beider Basel;Limite erfüllt
Speer 500 gr
41.68;1f1;None;15.07.2020;Langenthal;Nachwuchs Abendmeeting;Limite erfüllt
39.7;3f1;None;13.06.2020;Langenthal;Take-off - Meeting;Limite erfüllt
39.13;2f1;None;09.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020;Limite erfüllt
36.89;D;None;19.07.2020;Amriswil;Einladungsmehrkampf;Limite erfüllt
33.71;6 1;None;29.08.2020;8800 Thalwil;OZB-Championships (U18/U20/Aktive) - Nachmeldung geöffnet; 
Siebenkampf U18 W
4563.0;9;None;09.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
