100 m
12.4;3 5;0.3;08.08.2020;Zofingen;38. Nachwuchsmeeting;Limite erfüllt
12.43;4 1;0.0;15.07.2020;Langenthal;Nachwuchs Abendmeeting;Limite erfüllt
12.45;14 2;1.7;13.06.2020;Langenthal;Take-off - Meeting;Limite erfüllt
12.45;16 4;-0.3;05.08.2020;Langenthal;Internationales Sommermeeting;Limite erfüllt
12.46;6 3;-0.1;20.06.2020;Meilen;Meeting Meilen;Limite erfüllt
12.67;2f1;-0.1;16.08.2020;Langenthal;Nachwuchs SVM Einzel 2020; 
150 m
18.89;6 4;0.0;20.06.2020;Meilen;Meeting Meilen; 
18.91;18 4;1.9;13.06.2020;Langenthal;Take-off - Meeting; 
200 m
25.94;19 3;1.7;27.06.2020;Bern;Sonnenwend Meeting;Limite erfüllt
Weit
-1.0;f1;;16.08.2020;Langenthal;Nachwuchs SVM Einzel 2020; 
