100 m
11.5;32h9;1.6;11.07.2020;Bulle;Meeting de la Gruyère;Limite erfüllt
11.7;4f1;0.4;29.08.2020;Hochdorf;SVM Nachwuchs Meeting U16 / U18; 
11.9;3r1;-0.4;29.06.2020;Düdingen;Abendmeeting Sense; 
200 m
23.75;2;0.3;18.08.2020;Düdingen;Abendmeeting Sense III; 
23.85;27 4;1.3;27.06.2020;Bern;Sonnenwend Meeting; 
300 m
38.09;2r1;None;29.06.2020;Düdingen;Abendmeeting Sense; 
400 m
53.15;;None;23.07.2020;ganze Schweiz;Swiss Athletics Junior Challenge; 
110 m Hürden 91.4
16.42;3f1;0.0;29.08.2020;Hochdorf;SVM Nachwuchs Meeting U16 / U18; 
400 m Hürden 84.0
61.77;1;None;18.08.2020;Düdingen;Abendmeeting Sense III; 
Hoch
1.73;2f1;None;27.06.2020;Bern;Sonnenwend Meeting; 
1.62;3f1;None;29.08.2020;Hochdorf;SVM Nachwuchs Meeting U16 / U18; 
1.6;1f1;None;11.07.2020;Bulle;Meeting de la Gruyère; 
Weit
6.12;1f1;-1.3;30.08.2020;Lausanne;Coupe des Clubs - Finale; 
5.83;10 1;1.6;11.07.2020;Bulle;Meeting de la Gruyère; 
