60 m
7.26;1;None;20.08.2020;Liebefeld;UBS Kids Cup; 
80 m
9.26;1f;;22.08.2020;Huttwil;BE Kantonalfinal Sprint;Limite erfüllt
9.37;1h1;;22.08.2020;Huttwil;BE Kantonalfinal Sprint;Limite erfüllt
9.41;2 1;-0.1;15.07.2020;Langenthal;Nachwuchs Abendmeeting;Limite erfüllt
9.41;1f1;-0.5;16.08.2020;Langenthal;Nachwuchs SVM Einzel 2020;Limite erfüllt
9.42;;;24.06.2020;ganze Schweiz;Swiss Athletics Junior Challenge;Limite erfüllt
9.56;;;03.07.2020;ganze Schweiz;Swiss Athletics Junior Challenge;Limite erfüllt
100 m Hürden 84.0
13.93;1 1;0.0;15.07.2020;Langenthal;Nachwuchs Abendmeeting;Limite erfüllt
Weit
6.65;1f1;-0.9;16.08.2020;Langenthal;Nachwuchs SVM Einzel 2020;Limite erfüllt
6.35;1f1;0.8;08.07.2020;Bern;TVL/BLV-Abendmeeting Bern;Limite erfüllt
6.02;;;19.06.2020;ganze Schweiz;Swiss Athletics Junior Challenge;Limite erfüllt
Weit Zone
6.35;1;None;20.08.2020;Liebefeld;UBS Kids Cup; 
Kugel 4.00 kg
11.91;2f1;None;16.08.2020;Langenthal;Nachwuchs SVM Einzel 2020; 
Speer 600 gr
32.81;;None;19.06.2020;ganze Schweiz;Swiss Athletics Junior Challenge; 
Ball 200 g
62.09;1;None;20.08.2020;Liebefeld;UBS Kids Cup; 
UBS Kids Cup
2447.0;1;None;20.08.2020;Liebefeld;UBS Kids Cup; 
