800 m
188.47;47f1;None;09.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
100 m Hürden 76.2
18.42;44f3;0.7;08.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
Hoch
1.39;37f1;None;08.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
Weit
4.32;39f1;-0.7;09.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
Kugel 3.00 kg
12.81;4f1;None;08.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020;Limite erfüllt
12.7;1f1;None;29.08.2020;Hochdorf;SVM Nachwuchs Meeting U16 / U18;Limite erfüllt
12.02;2 1;None;11.07.2020;Bulle;Meeting de la Gruyère;Limite erfüllt
Diskus 1.00 kg
32.72;1 1;None;11.07.2020;Bulle;Meeting de la Gruyère;Limite erfüllt
Speer 600 gr
36.18;4 1;None;27.06.2020;Bern;Sonnenwend Meeting; 
Speer 500 gr
38.95;1f1;None;29.08.2020;Hochdorf;SVM Nachwuchs Meeting U16 / U18;Limite erfüllt
38.1;1;None;29.07.2020;Bern;Interner STB Sommerwettkampf;Limite erfüllt
37.3;1;None;01.07.2020;Wankdorf, Bern;1. STB Wurfwettkampf; 
36.99;;None;06.07.2020;ganze Schweiz;Swiss Athletics Junior Challenge; 
36.33;5f1;None;09.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
Siebenkampf U18 W
3403.0;34;None;09.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
