80 m
9.47;2h1;;22.08.2020;Huttwil;BE Kantonalfinal Sprint;Limite erfüllt
9.47;2f;;22.08.2020;Huttwil;BE Kantonalfinal Sprint;Limite erfüllt
9.56;1f1;;16.08.2020;Bern;Die schnällschte Mittuländer;Limite erfüllt
9.6;1h1;;16.08.2020;Bern;Die schnällschte Mittuländer;Limite erfüllt
9.67;1f1;0.2;29.08.2020;Hochdorf;SVM Nachwuchs Meeting U16 / U18; 
100 m
11.91;7 1;1.0;17.06.2020;Bern;Abendmeeting Bern; 
150 m
17.9;2 1;0.7;17.06.2020;Bern;Abendmeeting Bern; 
100 m Hürden 84.0
14.58;;;24.06.2020;ganze Schweiz;Swiss Athletics Junior Challenge;Limite erfüllt
14.58;;;24.06.2020;ganze Schweiz;Swiss Athletics Junior Challenge;Limite erfüllt
14.86;1 1;0.5;08.08.2020;Zofingen;38. Nachwuchsmeeting; 
300 m Hürden 84.0
43.31;6 1;None;08.08.2020;Zofingen;38. Nachwuchsmeeting; 
Weit
5.72;1f1;-0.8;29.08.2020;Hochdorf;SVM Nachwuchs Meeting U16 / U18; 
