100 m
13.42;14 5;0.3;15.07.2020;Langenthal;Nachwuchs Abendmeeting; 
150 m
20.83;9 3;1.0;17.06.2020;Bern;Abendmeeting Bern; 
200 m
27.28;19f3;2.0;08.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
800 m
165.59;28f1;None;09.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
100 m Hürden 76.2
15.89;19f1;-0.6;08.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
16.07;;;24.06.2020;ganze Schweiz;Swiss Athletics Junior Challenge; 
16.07;;;24.06.2020;ganze Schweiz;Swiss Athletics Junior Challenge; 
16.14;2f1;-0.3;16.08.2020;Langenthal;Nachwuchs SVM Einzel 2020; 
Hoch
1.6;X;None;20.06.2020;ganze Schweiz;Swiss Athletics Junior Challenge;Limite erfüllt
1.54;;None;08.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
1.5;;None;05.07.2020;Bern;Internes Sprungmeeting Bern (STB/TVL); 
Weit
5.12;2f1;0.9;16.08.2020;Langenthal;Nachwuchs SVM Einzel 2020; 
4.97;1q1;1.1;17.06.2020;Bern;Abendmeeting Bern; 
4.95;4f1;0.1;15.07.2020;Langenthal;Nachwuchs Abendmeeting; 
4.7;5f1;1.4;05.07.2020;Bern;Internes Sprungmeeting Bern (STB/TVL); 
4.56;33f1;-0.3;09.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
Kugel 3.00 kg
8.17;43f1;None;08.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
Speer 500 gr
28.72;;None;20.06.2020;ganze Schweiz;Swiss Athletics Junior Challenge; 
26.49;25f1;None;09.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
Siebenkampf U18 W
3856.0;22;None;09.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
