Kugel 3.00 kg
11.76;5f1;None;13.06.2020;Langenthal;Take-off - Meeting;Limite erfüllt
11.52;6f1;None;28.06.2020;Sarnen;OKB-Werfer-Meeting; 
11.2;3f1;None;16.08.2020;Langenthal;Nachwuchs SVM Einzel 2020; 
10.95;6;None;15.08.2020;Sarnen;9. RAIFFEISEN Sommermeeting; 
10.4;3f1;None;25.07.2020;Riehen;Sommermeeting; 
10.2;4f1;None;05.08.2020;Langenthal;Internationales Sommermeeting; 
9.66;6 1;None;08.08.2020;Zofingen;38. Nachwuchsmeeting; 
Diskus 1.00 kg
31.9;2;None;15.08.2020;Sarnen;9. RAIFFEISEN Sommermeeting;Limite erfüllt
31.85;1f1;None;15.07.2020;Langenthal;Nachwuchs Abendmeeting;Limite erfüllt
31.5;2;None;30.06.2020;Olten;Abendmeeting;Limite erfüllt
31.09;2;None;07.03.2020;Bern;Winter Wurf Event Bern;Limite erfüllt
29.95;3f1;None;28.06.2020;Sarnen;OKB-Werfer-Meeting; 
29.46;2f1;None;25.07.2020;Riehen;Sommermeeting; 
28.37;14f1;None;05.08.2020;Langenthal;Internationales Sommermeeting; 
27.45;4 1;None;08.08.2020;Zofingen;38. Nachwuchsmeeting; 
