100 m
12.47;5 1;0.0;15.07.2020;Langenthal;Nachwuchs Abendmeeting;Limite erfüllt
12.5;8 4;0.2;20.06.2020;Meilen;Meeting Meilen;Limite erfüllt
12.55;1f1;-0.1;16.08.2020;Langenthal;Nachwuchs SVM Einzel 2020;Limite erfüllt
12.59;4 5;0.3;08.08.2020;Zofingen;38. Nachwuchsmeeting;Limite erfüllt
150 m
18.54;17 4;1.9;13.06.2020;Langenthal;Take-off - Meeting; 
18.64;5 3;1.2;20.06.2020;Meilen;Meeting Meilen; 
200 m
25.29;10 3;1.7;27.06.2020;Bern;Sonnenwend Meeting;Limite erfüllt
25.66;15 3;0.4;05.08.2020;Langenthal;Internationales Sommermeeting;Limite erfüllt
