80 m
11.32;;;24.06.2020;ganze Schweiz;Swiss Athletics Junior Challenge; 
11.32;;;24.06.2020;ganze Schweiz;Swiss Athletics Junior Challenge; 
11.78;82f1;-0.1;09.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
1000 m
241.46;66f1;None;09.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
80 m Hürden 76.2
13.37;;;24.06.2020;ganze Schweiz;Swiss Athletics Junior Challenge; 
13.37;;;24.06.2020;ganze Schweiz;Swiss Athletics Junior Challenge; 
Hoch
1.59;1f1;None;29.08.2020;Hochdorf;SVM Nachwuchs Meeting U16 / U18;Limite erfüllt
1.57;3f1;None;09.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020;Limite erfüllt
Weit
4.57;43f1;-0.2;09.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
4.49;6f1;0.1;29.08.2020;Hochdorf;SVM Nachwuchs Meeting U16 / U18; 
Kugel 3.00 kg
7.85;7;None;01.07.2020;Wankdorf, Bern;1. STB Wurfwettkampf; 
7.12;78f1;None;09.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
Speer 400 gr
21.87;8;None;01.07.2020;Wankdorf, Bern;1. STB Wurfwettkampf; 
Fünfkampf U16 W
2592.0;60;None;09.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
