Kugel 4.00 kg
11.71;1f1;None;27.06.2020;Bern;Sonnenwend Meeting;Limite erfüllt
11.6;2 1;None;23.08.2020;Frauenfeld;SM U20/U23;Limite erfüllt
11.46;2 1;None;20.06.2020;Meilen;Meeting Meilen;Limite erfüllt
11.39;5f1;None;13.06.2020;Langenthal;Take-off - Meeting;Limite erfüllt
11.37;1q1;None;17.06.2020;Bern;Abendmeeting Bern;Limite erfüllt
11.11;3f1;None;15.07.2020;Langenthal;Nachwuchs Abendmeeting;Limite erfüllt
10.86;1;None;29.07.2020;Bern;Interner STB Sommerwettkampf; 
10.75;5f1;None;05.08.2020;Langenthal;Internationales Sommermeeting; 
Diskus 1.00 kg
34.4;8 1;None;23.08.2020;Frauenfeld;SM U20/U23;Limite erfüllt
32.16;11f1;None;05.08.2020;Langenthal;Internationales Sommermeeting; 
32.07;7 1;None;27.06.2020;Bern;Sonnenwend Meeting; 
31.44;6;None;30.06.2020;Olten;Abendmeeting; 
Speer 600 gr
34.85;8 1;None;22.08.2020;Frauenfeld;SM U20/U23; 
33.94;3 1;None;20.06.2020;Meilen;Meeting Meilen; 
31.68;9 1;None;27.06.2020;Bern;Sonnenwend Meeting; 
31.38;4q1;None;17.06.2020;Bern;Abendmeeting Bern; 
