60 m
9.2;6;None;09.08.2020;Kirchberg BE;UBS Kids Cup; 
600 m
102.38;3 1;None;27.06.2020;Bern;Sonnenwend Meeting;Limite erfüllt
104.27000000000001;4 3;None;08.08.2020;Zofingen;38. Nachwuchsmeeting;Limite erfüllt
1000 m
186.16;31;None;20.06.2020;Regensdorf;Mille Gruyère;Limite erfüllt
186.85;1 1;None;29.08.2020;Gümligen;Regionalfinal MilLeGruyère;Limite erfüllt
Weit Zone
3.98;6;None;09.08.2020;Kirchberg BE;UBS Kids Cup; 
Ball 200 g
40.67;6;None;09.08.2020;Kirchberg BE;UBS Kids Cup; 
UBS Kids Cup
1639.0;6;None;09.08.2020;Kirchberg BE;UBS Kids Cup; 
