100 m
13.76;3r2;1.4;15.08.2020;Sarnen;9. RAIFFEISEN Sommermeeting; 
Weit
4.95;2q1;0.7;17.06.2020;Bern;Abendmeeting Bern; 
4.93;10 1;-1.7;08.08.2020;Rotkreuz;8. Nationales Sprungmeeting; 
4.89;4;0.5;15.08.2020;Sarnen;9. RAIFFEISEN Sommermeeting; 
4.88;;;06.06.2020;ganze Schweiz;Swiss Athletics Junior Challenge; 
4.78;4f1;0.4;05.07.2020;Bern;Internes Sprungmeeting Bern (STB/TVL); 
Drei
11.23;1f1;0.7;05.07.2020;Bern;Internes Sprungmeeting Bern (STB/TVL);Limite erfüllt
11.18;1f1;0.8;08.07.2020;Bern;TVL/BLV-Abendmeeting Bern;Limite erfüllt
10.99;;;06.06.2020;ganze Schweiz;Swiss Athletics Junior Challenge;Limite erfüllt
10.68;;;13.06.2020;ganze Schweiz;Swiss Athletics Junior Challenge;Limite erfüllt
