100 m
13.44;6 3;-2.6;05.07.2020;Winterthur;Sommermeeting LVW; 
200 m
26.85;23 4;0.6;27.06.2020;Bern;Sonnenwend Meeting; 
400 m
58.14;6f1;None;23.08.2020;Frauenfeld;SM U20/U23;Limite erfüllt
58.4;17 3;None;27.06.2020;Bern;Sonnenwend Meeting;Limite erfüllt
58.48;3 1;None;05.07.2020;Winterthur;Sommermeeting LVW;Limite erfüllt
58.54;9 2;None;08.08.2020;Regensdorf;Abendmeeting;Limite erfüllt
58.71;6 4;None;11.07.2020;Bulle;Meeting de la Gruyère;Limite erfüllt
59.44;4h2;None;22.08.2020;Frauenfeld;SM U20/U23;Limite erfüllt
400 m Hürden 76.2
64.56;2 1;None;30.08.2020;8800 Thalwil;OZB-Championships (U18/U20/Aktive) - Nachmeldung geöffnet;Limite erfüllt
