1000 m
190.09;1f1;None;15.08.2020;Lyss;Dr Schnällscht Seeländer;Limite erfüllt
194.36;1f1;None;16.08.2020;Bern;Die schnällschte Mittuländer; 
194.67;6 1;None;29.08.2020;Gümligen;Regionalfinal MilLeGruyère; 
1500 m
298.85;22;None;07.07.2020;Brugg;Schachencup; 
301.44;40 1;None;27.06.2020;Bern;Sonnenwend Meeting; 
2000 m
421.72;2 1;None;08.08.2020;Zofingen;38. Nachwuchsmeeting;Limite erfüllt
3000 m
637.37;7 1;None;20.06.2020;Meilen;Meeting Meilen; 
646.09;9 1;None;05.08.2020;Langenthal;Internationales Sommermeeting; 
5000 m
1109.3;1 1;None;21.08.2020;Bulle;Championnat Fribourgeois 5000m; 
1129.52;1 1;None;15.07.2020;Lausanne / Pontaise;Meeting de courses U10 à actifs; 
