600 m
97.36;5 1;None;08.08.2020;Regensdorf;Abendmeeting;Limite erfüllt
100.00999999999999;7r1;None;04.08.2020;Olten;Abendmeeting & SM Hammer Masters;Limite erfüllt
100.09;1 1;None;01.07.2020;Riehen;Sommer-Bahnmeeting;Limite erfüllt
102.3;;None;17.06.2020;ganze Schweiz;Swiss Athletics Junior Challenge; 
102.3;;None;17.06.2020;ganze Schweiz;Swiss Athletics Junior Challenge; 
1000 m
181.86;31;None;27.06.2020;Appenzell;Regionalfinal Mille Gruyère; 
184.24;1 1;None;30.08.2020;Bern;Grosses Meeting für die Kleinen; 
184.7;3f1;None;16.08.2020;Sion;Eliminatoire régionale MilLe Gruyère; 
185.33;61;None;20.06.2020;Regensdorf;Mille Gruyère; 
189.39;6 1;None;29.08.2020;Lausanne;MilLe Gruyère - Finale régionale VD-GE; 
189.39;6 1;None;29.08.2020;Lausanne;MilLe Gruyère - Finale régionale VD-GE; 
191.33;3 1;None;25.07.2020;Riehen;Sommermeeting; 
