60 m
7.53;2;None;15.08.2020;Interlaken;UBS Kids Cup; 
7.57;1;None;09.08.2020;Kirchberg BE;UBS Kids Cup; 
80 m
9.51;3f;;22.08.2020;Huttwil;BE Kantonalfinal Sprint;Limite erfüllt
9.57;3h1;;22.08.2020;Huttwil;BE Kantonalfinal Sprint;Limite erfüllt
9.66;2 1;0.7;05.08.2020;Langenthal;Internationales Sommermeeting; 
9.85;6 3;-0.6;15.07.2020;Langenthal;Nachwuchs Abendmeeting; 
10.39;;;03.07.2020;ganze Schweiz;Swiss Athletics Junior Challenge; 
1000 m
210.78;11 1;None;15.07.2020;Langenthal;Nachwuchs Abendmeeting; 
100 m Hürden 84.0
14.63;2 1;-1.0;13.08.2020;Colombier;Meeting du CEP Cortaillod et de l'ANA;Limite erfüllt
Weit Zone
5.81;2;None;15.08.2020;Interlaken;UBS Kids Cup; 
5.64;1;None;09.08.2020;Kirchberg BE;UBS Kids Cup; 
Speer 600 gr
37.48;4f1;None;16.08.2020;Langenthal;Nachwuchs SVM Einzel 2020; 
Ball 200 g
69.66;2;None;15.08.2020;Interlaken;UBS Kids Cup; 
68.21;1;None;09.08.2020;Kirchberg BE;UBS Kids Cup; 
UBS Kids Cup
2357.0;2;None;15.08.2020;Interlaken;UBS Kids Cup; 
2298.0;1;None;09.08.2020;Kirchberg BE;UBS Kids Cup; 
