150 m
19.74;7 3;1.0;17.06.2020;Bern;Abendmeeting Bern; 
200 m
25.52;1 4;0.6;15.08.2020;La Chaux-de-Fonds;Meeting de la Tchaux champsseries;Limite erfüllt
25.79;18 4;0.3;05.08.2020;Langenthal;Internationales Sommermeeting;Limite erfüllt
25.99;3r2;-0.2;30.06.2020;Olten;Abendmeeting;Limite erfüllt
400 m
57.56;15 4;None;27.06.2020;Bern;Sonnenwend Meeting;Limite erfüllt
57.75;5 2;None;05.08.2020;Langenthal;Internationales Sommermeeting;Limite erfüllt
57.84;5f1;None;23.08.2020;Frauenfeld;SM U20/U23;Limite erfüllt
58.89;2h1;None;22.08.2020;Frauenfeld;SM U20/U23;Limite erfüllt
Weit
5.16;8 1;-1.0;08.08.2020;Rotkreuz;8. Nationales Sprungmeeting; 
