60 m
8.55;2;None;20.08.2020;Liebefeld;UBS Kids Cup; 
80 m
10.58;;;03.07.2020;ganze Schweiz;Swiss Athletics Junior Challenge;Limite erfüllt
10.65;1f1;1.6;27.06.2020;Langenthal;"Die schnällschte Oberaargauer"; 
10.69;2h1;;22.08.2020;Huttwil;BE Kantonalfinal Sprint; 
10.74;;;24.06.2020;ganze Schweiz;Swiss Athletics Junior Challenge; 
10.81;3f;;22.08.2020;Huttwil;BE Kantonalfinal Sprint; 
11.04;5f1;-1.7;16.08.2020;Langenthal;Nachwuchs SVM Einzel 2020; 
600 m
106.41;X;None;03.07.2020;ganze Schweiz;Swiss Athletics Junior Challenge; 
1000 m
196.97;6 1;None;27.06.2020;Langenthal;"Die schnällschte Oberaargauer"; 
203.57;9 1;None;29.08.2020;Gümligen;Regionalfinal MilLeGruyère; 
207.36;5f1;None;16.08.2020;Langenthal;Nachwuchs SVM Einzel 2020; 
80 m Hürden 76.2
13.05;;;24.06.2020;ganze Schweiz;Swiss Athletics Junior Challenge; 
Weit Zone
4.44;2;None;20.08.2020;Liebefeld;UBS Kids Cup; 
Ball 200 g
39.03;2;None;20.08.2020;Liebefeld;UBS Kids Cup; 
UBS Kids Cup
1878.0;2;None;20.08.2020;Liebefeld;UBS Kids Cup; 
