800 m
131.22;2 1;None;29.08.2020;8800 Thalwil;OZB-Championships (U18/U20/Aktive) - Nachmeldung geöffnet;Limite erfüllt
131.63;4f1;None;23.08.2020;Frauenfeld;SM U20/U23;Limite erfüllt
132.79;5 1;None;20.06.2020;Meilen;Meeting Meilen;Limite erfüllt
133.86;1r1;None;15.08.2020;Sarnen;9. RAIFFEISEN Sommermeeting;Limite erfüllt
137.47;3h1;None;22.08.2020;Frauenfeld;SM U20/U23;Limite erfüllt
1000 m
170.87;5r1;None;16.06.2020;Wetzikon ZH;Laufmeeting Wetzikon; 
1500 m
271.98;8 4;None;27.06.2020;Bern;Sonnenwend Meeting;Limite erfüllt
278.42;23 5;None;08.08.2020;Regensdorf;Abendmeeting;Limite erfüllt
