100 m
11.12;7 2;0.2;08.08.2020;Regensdorf;Abendmeeting;Limite erfüllt
11.19;9 3;0.0;08.08.2020;Regensdorf;Abendmeeting;Limite erfüllt
11.26;1 4;1.1;15.08.2020;Schaffhausen;Munotmeeting;Limite erfüllt
11.41;27h15;1.4;11.07.2020;Bulle;Meeting de la Gruyère; 
11.49;1 4;-1.8;05.07.2020;Winterthur;Sommermeeting LVW; 
200 m
22.97;19 4;1.3;27.06.2020;Bern;Sonnenwend Meeting;Limite erfüllt
23.32;2 1;;30.08.2020;8800 Thalwil;OZB-Championships (U18/U20/Aktive) - Nachmeldung geöffnet; 
Weit
6.9;1f1;1.2;08.07.2020;Bern;TVL/BLV-Abendmeeting Bern;Limite erfüllt
6.72;1 1;0.9;05.07.2020;Winterthur;Sommermeeting LVW;Limite erfüllt
6.65;;;28.06.2020;ganze Schweiz;Swiss Athletics Junior Challenge;Limite erfüllt
6.62;2 1;-1.1;15.08.2020;Schaffhausen;Munotmeeting;Limite erfüllt
