100 m
11.7;1f1;-0.6;16.08.2020;Langenthal;Nachwuchs SVM Einzel 2020; 
11.85;7 2;0.0;29.08.2020;Hochdorf;Arena Meeting; 
11.87;1;-0.1;31.07.2020;Aarau;Aarauer Abendmeeting; 
11.89;6 1;1.0;17.06.2020;Bern;Abendmeeting Bern; 
11.95;;;24.06.2020;ganze Schweiz;Swiss Athletics Junior Challenge; 
11.95;;;24.06.2020;ganze Schweiz;Swiss Athletics Junior Challenge; 
11.99;7 2;0.3;15.07.2020;Langenthal;Nachwuchs Abendmeeting; 
150 m
18.0;3 2;0.5;17.06.2020;Bern;Abendmeeting Bern; 
200 m
24.09;2 1;0.4;29.08.2020;Hochdorf;Arena Meeting; 
24.1;7 1;0.3;08.08.2020;Zofingen;38. Nachwuchsmeeting; 
Weit
6.31;2 1;0.8;08.08.2020;Zofingen;38. Nachwuchsmeeting;Limite erfüllt
6.02;3f1;0.5;15.07.2020;Langenthal;Nachwuchs Abendmeeting; 
5.89;1f1;0.6;16.08.2020;Langenthal;Nachwuchs SVM Einzel 2020; 
