60 m
8.29;1f1;None;16.08.2020;Bern;Die schnällschte Mittuländer;Limite erfüllt
8.46;5f;None;22.08.2020;Huttwil;BE Kantonalfinal Sprint; 
8.5;;None;03.07.2020;ganze Schweiz;Swiss Athletics Junior Challenge; 
8.6;1h3;None;16.08.2020;Bern;Die schnällschte Mittuländer; 
8.66;6h1;None;22.08.2020;Huttwil;BE Kantonalfinal Sprint; 
80 m
10.96;1r2;1.0;15.08.2020;Sarnen;9. RAIFFEISEN Sommermeeting; 
11.2;;;24.06.2020;ganze Schweiz;Swiss Athletics Junior Challenge; 
11.2;;;24.06.2020;ganze Schweiz;Swiss Athletics Junior Challenge; 
80 m Hürden 76.2
13.2;5 4;-0.6;05.08.2020;Langenthal;Internationales Sommermeeting; 
Hoch
1.4;X;None;20.06.2020;ganze Schweiz;Swiss Athletics Junior Challenge; 
1.4;;None;15.08.2020;Sarnen;9. RAIFFEISEN Sommermeeting; 
1.35;;None;29.08.2020;Hochdorf;SVM Nachwuchs Meeting U16 / U18; 
Kugel 3.00 kg
10.83;2f2;None;29.08.2020;Hochdorf;SVM Nachwuchs Meeting U16 / U18;Limite erfüllt
10.69;2;None;29.07.2020;Bern;Interner STB Sommerwettkampf;Limite erfüllt
9.97;2;None;01.07.2020;Wankdorf, Bern;1. STB Wurfwettkampf;Limite erfüllt
Diskus 1.00 kg
29.59;1 1;None;27.06.2020;Bern;Sonnenwend Meeting; 
29.42;4;None;30.06.2020;Olten;Abendmeeting; 
Diskus 0.75 kg
37.1;1;None;29.07.2020;Bern;Interner STB Sommerwettkampf; 
36.31;1;None;01.07.2020;Wankdorf, Bern;1. STB Wurfwettkampf; 
36.05;3;None;15.08.2020;Sarnen;9. RAIFFEISEN Sommermeeting; 
33.48;2f1;None;05.08.2020;Langenthal;Internationales Sommermeeting; 
30.4;2;None;07.03.2020;Bern;Winter Wurf Event Bern; 
Speer 400 gr
30.53;4f2;None;29.08.2020;Hochdorf;SVM Nachwuchs Meeting U16 / U18; 
30.34;;None;20.06.2020;ganze Schweiz;Swiss Athletics Junior Challenge; 
29.71;3;None;01.07.2020;Wankdorf, Bern;1. STB Wurfwettkampf; 
