100 m
11.42;3 3;0.8;17.06.2020;Bern;Abendmeeting Bern; 
150 m
17.03;1 1;0.7;17.06.2020;Bern;Abendmeeting Bern; 
400 m
52.11;1f1;None;16.08.2020;Langenthal;Nachwuchs SVM Einzel 2020; 
110 m Hürden 91.4
14.21;1 1;0.6;08.08.2020;Zofingen;38. Nachwuchsmeeting;Limite erfüllt
14.38;2 1;1.3;13.06.2020;Langenthal;Take-off - Meeting;Limite erfüllt
14.46;1f1;-0.7;16.08.2020;Langenthal;Nachwuchs SVM Einzel 2020;Limite erfüllt
14.5;1;0.0;31.07.2020;Aarau;Aarauer Abendmeeting;Limite erfüllt
300 m Hürden 84.0
38.93;1 1;None;08.08.2020;Zofingen;38. Nachwuchsmeeting; 
Weit
6.62;1 1;0.9;08.08.2020;Zofingen;38. Nachwuchsmeeting;Limite erfüllt
