60 m
7.85;1;None;20.08.2020;Liebefeld;UBS Kids Cup; 
80 m
9.92;2f;;22.08.2020;Huttwil;BE Kantonalfinal Sprint; 
10.14;2h1;;22.08.2020;Huttwil;BE Kantonalfinal Sprint; 
10.23;;;24.06.2020;ganze Schweiz;Swiss Athletics Junior Challenge; 
1000 m
193.7;12f1;None;08.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
197.14;5f1;None;16.08.2020;Langenthal;Nachwuchs SVM Einzel 2020; 
100 m Hürden 84.0
14.85;;;03.07.2020;ganze Schweiz;Swiss Athletics Junior Challenge;Limite erfüllt
14.93;8 1;0.0;15.07.2020;Langenthal;Nachwuchs Abendmeeting;Limite erfüllt
15.25;13f1;0.0;08.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
15.36;;;24.06.2020;ganze Schweiz;Swiss Athletics Junior Challenge; 
Hoch
1.62;;None;08.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
1.61;;None;16.08.2020;Langenthal;Nachwuchs SVM Einzel 2020; 
1.6;X;None;19.06.2020;ganze Schweiz;Swiss Athletics Junior Challenge; 
Weit
5.99;3f1;-0.2;16.08.2020;Langenthal;Nachwuchs SVM Einzel 2020;Limite erfüllt
5.77;2f1;-0.3;15.07.2020;Langenthal;Nachwuchs Abendmeeting;Limite erfüllt
5.64;12f1;-1.5;08.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
5.61;;;19.06.2020;ganze Schweiz;Swiss Athletics Junior Challenge; 
Weit Zone
6.29;1;None;20.08.2020;Liebefeld;UBS Kids Cup; 
Kugel 4.00 kg
9.24;23f1;None;08.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
Diskus 1.00 kg
20.51;24f1;None;08.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
Ball 200 g
42.66;1;None;20.08.2020;Liebefeld;UBS Kids Cup; 
Sechskampf U16 M
3412.0;16;None;09.08.2020;Langenthal;Mehrkampf Schweizermeisterschaften 2020; 
UBS Kids Cup
2033.0;1;None;20.08.2020;Liebefeld;UBS Kids Cup; 
