100 m
12.35;8qf2;-1.4;22.08.2020;Frauenfeld;SM U20/U23;Limite erfüllt
12.39;1r1;-1.1;15.08.2020;Sarnen;9. RAIFFEISEN Sommermeeting;Limite erfüllt
12.44;8f1;-0.7;22.08.2020;Frauenfeld;SM U20/U23; 
12.51;1 4;-1.6;05.07.2020;Winterthur;Sommermeeting LVW; 
12.58;12h3;-0.9;22.08.2020;Frauenfeld;SM U20/U23; 
200 m
25.03;9 3;1.7;27.06.2020;Bern;Sonnenwend Meeting;Limite erfüllt
25.55;7h3;0.7;23.08.2020;Frauenfeld;SM U20/U23;Limite erfüllt
25.81;2r1;-2.2;15.08.2020;Sarnen;9. RAIFFEISEN Sommermeeting;Limite erfüllt
25.9;7f1;-2.5;23.08.2020;Frauenfeld;SM U20/U23;Limite erfüllt
26.03;2 5;-2.2;05.07.2020;Winterthur;Sommermeeting LVW; 
