LAT Sense (Lauf und Athletikteam);ACC_1.FR.0309
Rechthalten Athletic Team;ACC_1.FR.0310
TSV Heitenried;ACC_1.FR.0311
TV Alterswil;ACC_1.FR.0312
TV Bösingen;ACC_1.FR.0319
TV Wünnewil;ACC_1.FR.0320
TSV Düdingen;ACC_1.FR.0321
AC Murten;ACC_1.FR.0323
TV Murten;ACC_1.FR.0324
TV Plaffeien;ACC_1.FR.0325
TSV Kerzers;ACC_1.FR.0329
TSV St. Antoni;ACC_1.FR.0335
STV Gampel;ACC_1.VS.1720
LV Visp;ACC_1.VS.1719
LLT Oberwallis;ACC_1.VS.1716
TV Naters;ACC_1.VS.1717
LLT Oberwallis;ACC_1.VS.1716
Biberist aktiv! Leichtathletik;ACC_1.SO.1202
TV Grenchen;ACC_1.SO.1201
STV Bettlach;ACC_1.SO.1203
STV Selzach;ACC_1.SO.1204
LAC Biel;ACC_1.BE.0103
STV Biel;ACC_1.BE.0105
GG Bern;ACC_1.BE.0115
STB Leichtathletik;ACC_1.BE.0116
TV Länggasse Bern;ACC_1.BE.0117
LAG TV Zollikofen;ACC_1.BE.0121
TV Bolligen;ACC_1.BE.0123
TV Ostermundigen;ACC_1.BE.0125
TV Schwarzenburg;ACC_1.BE.0128
TV Oberwangen;ACC_1.BE.0129
TSV Frauenkappelen;ACC_1.BE.0130
LAC Wohlen;ACC_1.BE.0132
TV Lyss;ACC_1.BE.0133
TV Fraubrunnen;ACC_1.BE.0136
TV Herzogenbuchsee;ACC_1.BE.0137
LA Rüegsauschachen;ACC_1.BE.0138
LC Kirchberg;ACC_1.BE.0142
TV Sumiswald;ACC_1.BE.0144
TV Grosshöchstetten;ACC_1.BE.0145
TV Konolfingen Athletics;ACC_1.BE.0146
SK Langnau;ACC_1.BE.0147
TV Trubschachen;ACC_1.BE.0148
All Blacks Thun;ACC_1.BE.0152
LV Thun;ACC_1.BE.0154
TV Spiez;ACC_1.BE.0156
LC Scharnachtal;ACC_1.BE.0157
TV Saanen-Gstaad;ACC_1.BE.0158
TV Unterseen;ACC_1.BE.0159
TV Meiringen;ACC_1.BE.0160
LV Langenthal;ACC_1.BE.0161
TV Aeschi;ACC_1.BE.0162
LV Huttwil;ACC_1.BE.0163
TV Attiswil;ACC_1.BE.0166
UOV Burgdorf - Läufergruppe;ACC_1.BE.0167
SATUS Biel-Stadt;ACC_1.BE.0168
TV Oberdiessbach;ACC_1.BE.0170
LA Bern;ACC_1.BE.0171
Laufträff Büren an der Aare;ACC_1.BE.0177
LGRL Rüegsauschachen-Lützelflüh;ACC_1.BE.0180
Fun and Run Thun;ACC_1.BE.0183
TV Aarberg Leichtathletik;ACC_1.BE.0184
Gerbersport;ACC_1.BE.0185
Bieler Lauftage;ACC_1.BE.0186
Satus Burgdorf;ACC_1.BE.0187
Biel/Bienne Athletics;ACC_1.BE.0188
TV Lützelflüh Athletics;ACC_1.BE.0201
TVM Buchsi-Athletics;ACC_1.BE.0203
TSV Vechigen;ACC_1.BE.0204
Turnverein Uetendorf;ACC_1.BE.0208
TIP-TOP Swiss Polysport;ACC_1.BE.0211
GWP Track Team;ACC_1.BE.0213
Satus Interlaken;ACC_1.BE.0214
LV Kandertal;ACC_1.BE.0215
Turn- und Sportverein Wangen an der Aare;ACC_1.BE.0217
