AthletId;ClubId;Year
akb20-rbtfg-eph33cov-1-epqwq9bk-3ei;ACC_1.AG.0006;2020
akb20-rbtfg-eph33cov-1-epqwq9bk-3ei;ACC_1.AG.0006;2018
akb20-rbtfg-eph33cov-1-epqwq9bk-3ei;ACC_1.AG.0006;2019
akb20-rbtfg-eph33cov-1-epqwq9bk-3ei;ACC_1.BSBL.0202;2015
akb20-rbtfg-eph33cov-1-epqwq9bk-3ei;ACC_1.BSBL.0202;2016
akb20-rbtfg-eph33cov-1-epqwq9bk-3ei;ACC_1.BSBL.0202;2017
akb20-rbtfg-eph33cov-1-epqwq9bk-3ei;ACC_1.BSBL.0202;2011
akb20-rbtfg-eph33cov-1-epqwq9bk-3ei;ACC_1.BSBL.0202;2012
akb20-rbtfg-eph33cov-1-epqwq9bk-3ei;ACC_1.BSBL.0202;2013
akb20-rbtfg-eph33cov-1-epqwq9bk-3ei;ACC_1.BSBL.0202;2014
4sgua-z4wjd0-icfnbw48-1-icmd2dn0-7nen;ACC_1.ZH.1804;2020
4sgua-z4wjd0-icfnbw48-1-icmd2dn0-7nen;ACC_1.ZH.1804;2019
4sgua-z4wjd0-icfnbw48-1-icmd2dn0-7nen;ACC_1.GR.0602;2015
4sgua-z4wjd0-icfnbw48-1-icmd2dn0-7nen;ACC_1.GR.0602;2016
4sgua-z4wjd0-icfnbw48-1-icmd2dn0-7nen;ACC_1.GR.0602;2017
4sgua-z4wjd0-icfnbw48-1-icmd2dn0-7nen;ACC_1.GR.0602;2018
4sgua-kw7dcw-i9pd30dk-1-i9ud7o4j-4ot3;ACC_1.ZH.1804;2020
4sgua-kw7dcw-i9pd30dk-1-i9ud7o4j-4ot3;ACC_1.ZH.1804;2018
4sgua-kw7dcw-i9pd30dk-1-i9ud7o4j-4ot3;ACC_1.ZH.1804;2019
4sgua-kw7dcw-i9pd30dk-1-i9ud7o4j-4ot3;ACC_1.TI.1508;2015
4sgua-kw7dcw-i9pd30dk-1-i9ud7o4j-4ot3;ACC_1.TI.1508;2016
4sgua-kw7dcw-i9pd30dk-1-i9ud7o4j-4ot3;ACC_1.TI.1508;2017
CONTACT.WEB.131887;ACC_1.SGALV.1011;2020
CONTACT.WEB.131887;ACC_1.SGALV.1011;2018
CONTACT.WEB.131887;ACC_1.SGALV.1011;2019
CONTACT.WEB.131887;ACC_1.SGALV.1013;2015
CONTACT.WEB.131887;ACC_1.SGALV.1013;2016
CONTACT.WEB.131887;ACC_1.SGALV.1013;2017
4sgua-pmy6ns-hbo4ikco-1-hc7vc8yu-atqd;4sgua-pwmc0y-f4kw22p3-1-f56px7xf-d8b;2020
4sgua-pmy6ns-hbo4ikco-1-hc7vc8yu-atqd;4sgua-pwmc0y-f4kw22p3-1-f56px7xf-d8b;2015
4sgua-pmy6ns-hbo4ikco-1-hc7vc8yu-atqd;4sgua-pwmc0y-f4kw22p3-1-f56px7xf-d8b;2016
4sgua-pmy6ns-hbo4ikco-1-hc7vc8yu-atqd;4sgua-pwmc0y-f4kw22p3-1-f56px7xf-d8b;2017
4sgua-pmy6ns-hbo4ikco-1-hc7vc8yu-atqd;4sgua-pwmc0y-f4kw22p3-1-f56px7xf-d8b;2018
4sgua-pmy6ns-hbo4ikco-1-hc7vc8yu-atqd;4sgua-pwmc0y-f4kw22p3-1-f56px7xf-d8b;2013
4sgua-pmy6ns-hbo4ikco-1-hc7vc8yu-atqd;4sgua-pwmc0y-f4kw22p3-1-f56px7xf-d8b;2014
4sgua-s2cqt9-hifuporw-1-hinb8r0o-9mhe;ACC_1.SH.1101;2020
4sgua-s2cqt9-hifuporw-1-hinb8r0o-9mhe;ACC_1.SH.1101;2015
4sgua-s2cqt9-hifuporw-1-hinb8r0o-9mhe;ACC_1.SH.1101;2016
4sgua-s2cqt9-hifuporw-1-hinb8r0o-9mhe;ACC_1.SH.1101;2017
4sgua-s2cqt9-hifuporw-1-hinb8r0o-9mhe;ACC_1.SH.1101;2018
4sgua-s2cqt9-hifuporw-1-hinb8r0o-9mhe;ACC_1.SH.1101;2019
4sgua-s2cqt9-hifuporw-1-hinb8r0o-9mhe;ACC_1.SH.1101;2013
4sgua-s2cqt9-hifuporw-1-hinb8r0o-9mhe;ACC_1.SH.1101;2014
a21aa-uw83ge-jp9tljsm-1-jpe15ule-5is;ACC_1.BE.0115;2020
a21aa-uw83ge-jp9tljsm-1-jpe15ule-5is;4sgua-efzhna-gaqmvz4o-1-gd04byak-2h9t;2019
CONTACT.WEB.137216;ACC_1.ZH.1802;2020
CONTACT.WEB.137216;ACC_1.ZH.1802;2015
CONTACT.WEB.137216;ACC_1.ZH.1802;2016
CONTACT.WEB.137216;ACC_1.ZH.1802;2017
CONTACT.WEB.137216;ACC_1.ZH.1802;2018
CONTACT.WEB.137216;ACC_1.ZH.1802;2019
a21aa-8x7ee0-jm498ie2-1-jmemf824-hlp;ACC_1.BE.0115;2020
a21aa-8x7ee0-jm498ie2-1-jmemf824-hlp;ACC_1.NE.0907;2018
